Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y
2.0359,186.0184,93.1134,305.0924,0.157,1224.485,387.2786,312.4522,107.4257,354.3084,110.5198,159.729,136.2299,113.9233,0.0813
3.0539,49.534,25.5452,58.195,0.0025,334.7092,209.8116,39.9449,38.439,72.779,43.956,42.1069,37.1129,91.5511,0.0529
4.0718,11.9069,47.2413,51.585,0.0668,187.1482,74.2523,39.0773,16.6479,25.7709,9.2171,25.6435,16.6507,40.0061,0.026
5.0898,30.1957,3.9298,48.0672,0.2137,80.2704,43.9152,60.4336,26.1763,48.5253,14.3661,15.9055,15.2551,12.3733,0.0074
6.1077,112.7405,119.8593,92.3361,0.3381,33.7678,10.022,82.4085,47.9186,62.7251,24.1354,6.5735,6.1042,5.7595,0.001
7.1257,244.7104,126.3254,144.7995,0.3271,27.0191,16.6933,66.8976,50.218,44.9356,38.3536,13.4723,6.4658,8.7979,0.0036
8.1437,289.7534,219.5068,101.489,0.2336,42.0501,19.7354,150.8863,48.3754,16.7233,20.9191,3.667,3.8886,5.5999,0.0006
9.1616,192.2547,170.5283,171.6929,0.5276,15.2345,12.5924,150.0269,133.2017,78.5272,48.41,5.0595,4.6768,6.8877,0.0044
10.1796,714.8533,317.1713,153.0089,1.0273,19.3444,4.2239,335.1295,59.9399,72.1072,141.0987,2.2783,1.5899,4.3247,0.0049
11.1975,1002.085,75.5672,391.1411,1.1056,2.8334,0.8698,493.3489,296.3163,215.0697,163.8199,1.5225,0.715,2.4618,0.0067
12.2155,783.8503,568.5179,662.0165,1.7423,4.3576,2.054,871.4589,177.9236,378.0443,268.855,2.0858,0.763,10.4995,0.0073
13.2335,956.1457,338.0878,688.2972,3.5329,3.7121,1.406,847.827,487.1835,577.6406,265.3419,1.5641,0.8851,5.8859,0.0044
14.2514,199.9028,442.2108,1029.987,4.2064,6.0013,3.0253,883.5499,281.096,741.7392,243.4241,0.7373,2.4297,20.7827,0.0119
15.2694,1011.121,704.7552,952.8536,3.5694,9.9942,6.9119,1209.823,516.6694,629.7218,418.7072,3.3169,1.0789,24.8571,0.0143
16.2873,1668.755,808.2119,470.1375,3.2435,17.8676,8.6005,960.9389,153.6799,630.3408,197.4609,1.8373,2.8382,23.8144,0.0161
17.3053,451.8155,793.7216,337.5167,4.7176,14.2267,6.6913,183.2581,477.2402,1005.805,418.2253,3.8155,0.5893,41.0554,0.0284
18.3232,2201.973,943.0683,830.9134,5.4501,11.9547,10.562,1672.955,572.228,783.7817,423.8882,3.2209,3.8938,6.9923,0.0116
19.3412,2030.29,956.4846,1109.813,5.5894,33.9948,18.3825,1678.495,1050.858,589.1351,467.4411,3.1099,2.2678,63.3146,0.0253
20.3592,1618.966,719.5823,919.2637,7.8065,29.6426,13.3377,1534.06,639.1866,751.4184,532.0707,4.8689,7.9385,44.4681,0.0834
21.3771,1221.251,838.7933,1181.909,8.6946,18.8442,8.5953,2174.963,332.8301,1376.187,872.0118,3.6782,6.0848,42.6641,0.0784
22.3951,1513.078,555.101,1561.656,7.1529,19.9092,21.9863,3241.703,1352.116,1165.12,630.8521,5.5859,11.8063,65.9522,0.0528
23.413,961.9637,842.3761,1010.638,6.3662,21.1613,28.5967,2163.192,1870.381,1238.379,460.0369,7.6294,6.8391,15.4596,0.0304
24.431,1176.738,440.4513,1296.087,9.1647,44.4964,39.2336,1889.544,304.3988,1675.297,309.9754,5.7232,13.445,29.6808,0.0276
25.4489,806.7948,1171.965,1799.027,11.7643,54.9205,30.9465,3090.38,1123.854,2555.465,1001.409,5.9268,14.5509,21.4413,0.056
26.4669,1640.663,199.6168,2412.89,10.4213,37.3252,16.9376,3950.131,1656.534,1616.875,1709.55,13.9009,21.1187,79.8702,0.061
27.4849,1706.722,479.9326,3286.752,7.1193,26.4079,37.0591,2653.003,1200.568,949.2738,472.3749,14.4929,12.8269,110.1007,0.0703
28.5028,1217.622,1653.577,2460.07,9.635,47.4495,37.3285,1303.487,736.2053,1627.056,504.0086,8.6558,20.5758,41.0627,0.0976
29.5208,1589.089,2107.252,1560.351,13.7655,28.9186,24.8442,399.5761,657.5622,2583.11,1127.291,7.6294,16.5069,173.7716,0.0755
30.5387,931.1538,1593.645,1972.035,15.1252,48.8143,54.7883,174.6722,490.7176,2775.76,1151.319,14.0877,18.4879,96.0826,0.1603
31.5567,979.4862,1024.672,1820.191,13.725,66.0471,62.9728,1965.399,102.559,1739.902,879.621,6.2335,22.3046,45.552,0.1795
32.5746,563.7276,967.6504,1470.327,12.4621,72.9082,53.9361,2461.478,1002.625,1156.355,595.3345,13.6534,28.8287,165.7963,0.2481
33.5926,380.1718,729.0106,742.2684,12.2888,79.4111,23.3611,868.5881,677.6555,207.0694,599.452,8.3282,18.3061,137.2813,0.3151
34.6106,864.3009,729.7912,843.0218,11.181,67.765,79.3753,1043.596,216.4268,209.0066,435.6079,7.372,29.3202,49.8421,0.2696
35.6285,50.0796,864.847,536.5391,10.3125,69.9597,110.8156,809.424,429.9025,1220.084,448.834,9.8015,20.2686,137.3162,0.2275
36.6465,903.5543,170.6698,2022.953,10.6787,59.424,104.0621,1889.541,331.9896,2264.303,606.72,17.8246,23.7822,180.6364,0.3019
37.6644,559.6866,517.2861,2257.155,9.8683,35.0443,74.4033,2771.175,1434.9,1477.163,1101.342,12.8215,18.0053,108.5198,0.3439
38.6824,1044.182,803.8176,1965.345,10.8917,78.0934,79.7495,2221.885,865.405,642.0573,338.0934,10.0234,30.121,142.2823,0.3617
39.7004,455.2989,609.5383,1214.663,13.3546,51.8214,109.5967,1820.075,811.5572,520.8632,254.5388,13.5202,18.5629,111.4842,0.4535
40.7183,1024.43,240.0406,2505.793,13.0971,74.1995,151.0159,1974.295,665.5278,266.0868,463.7821,9.3403,23.8882,98.016,0.5282
41.7363,427.946,250.6735,1583.828,11.7031,41.6281,173.3799,1066.67,400.654,1326.764,223.4282,6.2155,13.8081,85.9811,0.6398
42.7542,302.4259,141.843,1587.979,13.3796,77.1748,149.5293,1925.518,479.5717,1630.663,1154.785,19.9339,22.4972,170.1698,0.6329
43.7722,252.1743,497.4089,2203.245,18.5752,28.4633,144.3574,2499.092,1186.292,1708.474,833.6086,12.5337,19.7377,170.4475,0.6174
44.7901,564.5823,131.925,2849.907,23.0732,83.5114,172.3974,2364.917,521.4214,828.8404,14.2973,20.9791,20.4693,93.9197,0.7072
45.8081,624.47,100.3941,2457.534,23.8028,102.9271,164.3897,1741.237,1248.133,1389.451,1007.125,23.1866,46.9302,163.8886,0.7259
46.8261,276.6172,217.9001,1319.733,21.8811,86.7693,126.5736,1875.818,558.574,1109.227,43.7012,42.8278,18.7553,111.764,0.7547
47.844,328.1531,230.4686,1458.069,20.0421,111.6803,18.4887,2119.714,1403.774,584.8212,424.2623,22.1747,58.4528,77.2805,0.621
48.862,171.9718,70.6121,2115.976,19.3688,163.153,85.8408,896.7504,394.3323,1125.801,483.9605,39.9521,9.9,305.1066,0.7769
49.8799,400.9215,192.4149,2400.874,22.2575,99.0514,78.7257,1478.818,336.2595,1502.185,870.6318,33.8321,65.4123,74.0776,0.7864
50.8979,540.1185,668.5018,1648.122,25.2875,257.2465,218.9201,1242.798,452.8134,1416.681,476.8368,33.0655,53.6346,304.5938,0.9365
51.9158,1101.821,375.222,1518.066,25.7634,295.7717,313.24,297.7464,334.57,852.8724,813.7858,37.4014,71.552,126.9854,0.9043
52.9338,1167.524,237.4517,2127.03,22.3988,114.1084,330.0452,801.9739,317.9667,440.9254,946.9416,11.9916,19.4013,236.3623,1.0549
53.9518,572.0471,268.7284,1379.51,21.2279,366.1419,377.5719,230.2315,318.9554,914.7719,1273.263,18.5828,117.8837,221.7617,1.3031
54.9697,181.0708,482.0851,1331.559,23.9772,268.0036,367.5901,223.3105,115.9925,968.962,1356.676,12.1674,64.6378,372.6152,1.1251
55.9877,1037.182,541.2775,1313.424,26.5794,122.0396,290.8171,702.0502,619.9242,120.8951,485.6334,24.5341,93.9373,31.324,0.9933
57.0056,1081.679,503.1218,1806.027,25.4537,154.4313,71.0207,1467.005,570.7585,1408.015,518.3758,40.4524,48.7436,227.0889,1.0718
58.0236,127.1763,449.3746,2677.555,21.5209,369.274,85.7085,1508.399,562.7489,1161.852,356.141,29.2477,107.8968,509.861,1.278
59.0415,772.4702,127.4181,1812.591,20.4945,193.721,202.1673,1497.918,413.6906,515.6498,524.5785,48.5502,61.9572,304.5166,1.3449
,,,1212.944,21.0678,327.0471,280.8637,1358.762,685.8293,382.7442,306.3758,32.2972,114.1354,189.1712,1.2854
,,,1776.881,19.1907,502.0891,331.0639,786.8647,346.8556,278.0645,287.6919,64.2264,65.4039,236.8983,1.4406
,,,1463.75,17.8113,207.604,402.7316,579.939,141.5929,406.7631,439.0422,22.6045,151.6085,390.3394,1.5156
,,,1462.003,20.209,449.8255,370.2253,546.4739,493.7735,511.183,357.5948,93.8512,117.4691,357.7135,1.3294
,,,1432.706,20.7668,230.0219,242.1942,759.3788,173.8893,366.1393,554.1318,67.3855,120.3841,116.8389,1.3973
,,,1763.504,17.6168,372.4931,95.3833,422.4448,335.2108,988.2657,256.5642,27.9065,132.368,478.8026,1.6101
,,,1584.83,16.442,325.5792,215.7423,318.2121,267.7732,593.461,422.8174,72.8627,144.9676,814.9005,1.9799
,,,1292.627,19.0452,477.3222,298.7921,621.1682,371.312,661.6063,254.16,68.5466,104.0724,700.2164,2.0801
,,,1335.437,19.9054,551.087,423.5155,857.58,269.8375,687.965,592.5256,57.1414,199.1986,372.7563,1.5592
,,,1771.484,17.1942,89.9565,349.8192,853.4678,286.3226,1201.502,266.0187,36.7374,125.2357,402.6009,1.6792
,,,900.0994,14.9728,295.9854,202.1829,774.2615,470.1714,735.9833,528.9899,84.4097,164.8465,537.432,2.0151
,,,802.2898,14.6657,217.6418,296.1085,1014.827,561.159,861.8535,363.1643,55.5112,195.5199,621.1455,1.996
,,,1493.229,13.3153,900.206,472.2402,708.2662,279.9376,604.83,262.4103,101.3312,86.4645,770.481,1.8725
,,,725.5303,11.0657,609.2259,590.4735,386.8231,293.3449,554.774,187.6888,43.8456,219.9178,273.931,1.4997
,,,633.7044,9.7497,483.2636,546.6534,73.9299,261.7992,385.66,355.2811,135.9039,156.1511,269.7575,1.7248
,,,527.251,8.241,724.5354,445.5599,267.0196,318.6136,308.5448,490.0596,96.7272,154.5916,992.3391,1.9902
,,,284.4982,6.676,199.559,323.4745,875.1492,297.0917,655.0148,231.8581,45.1329,199.7544,533.6555,1.3063
,,,737.8228,5.6526,382.5002,73.1193,995.9493,309.4686,793.8076,324.2168,29.4572,135.8843,836.7768,1.8557
,,,1058.85,5.2843,629.4446,274.7834,1053.674,77.5724,841.9998,379.5945,106.2824,182.8619,658.8072,2.6154
,,,1116.423,6.4695,965.86,495.2815,547.7505,493.541,988.1424,171.6884,157.8687,111.7823,1224.793,2.5973
