Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
0.1999,6.2899,31.8927,7.4701,1.7221,59.1168,4.4428,2.2851,22.653,56.8946,9.6913,0.738,4.8121,2.091,8.0516,1.484,47.6809,4.4702,19.4338,10.4512,75.8813,15.9996,86.6867,6.7402
0.2998,8.5817,30.33,7.303,1.6577,34.782,4.4566,3.1639,26.7599,31.5912,9.4842,0.723,5.2064,2.0095,7.7317,1.4462,10.0826,8.0624,18.9824,14.4161,19.527,20.2495,60.2783,8.5127
0.3997,2.1909,20.8561,7.066,1.5707,23.9447,4.4601,0.9589,11.3917,22.0904,9.2108,0.6914,5.5772,1.9424,7.2864,1.3908,22.7735,9.1283,18.1823,17.3157,56.9603,17.7325,30.9617,8.8412
0.4997,9.8898,34.2173,6.7638,1.4663,9.267,4.4453,3.6586,20.4433,7.8036,8.8799,0.6414,5.8457,1.9192,6.7301,1.3187,21.837,5.3766,17.0012,18.9946,40.4806,7.5077,5.5807,7.7536
0.5996,4.8124,21.9644,6.4014,1.3497,18.6864,4.4059,2.2375,16.7311,6.451,8.4908,0.5758,5.9677,1.9502,6.0848,1.2309,26.1329,3.1342,15.4979,19.4789,5.7124,3.6913,16.9246,5.6411
0.6995,7.6088,27.7252,5.986,1.2261,7.2344,4.3393,2.0946,11.2057,3.5733,8.036,0.5034,5.9306,2.0213,5.3833,1.129,23.2175,5.7782,13.8145,18.9661,23.5617,8.1231,27.2482,3.0328
0.7995,8.5996,30.8343,5.5265,1.1004,1.4888,4.2469,3.4103,17.1655,2.2155,7.5077,0.4383,5.7474,2.1041,4.669,1.0162,0.7758,4.8227,12.1371,17.7998,21.0157,5.2725,27.9379,0.9214
0.8994,3.2106,20.1636,5.0342,0.9769,0.6753,4.1331,1.1504,9.5898,1.5082,6.9066,0.3958,5.4495,2.1705,3.9932,0.8963,8.3753,1.4528,10.6333,16.4132,7.6302,1.0895,20.7682,1.8212
0.9993,9.3022,31.9125,4.5215,0.8588,1.7535,4.0044,2.3831,9.0674,1.7846,6.2486,0.3831,5.08,2.203,3.4088,0.7741,3.0649,3.1872,9.3896,15.2231,13.2554,3.5972,9.1772,2.7656
1.0993,3.749,25.3285,4.0013,0.7485,8.3224,3.8676,2.0782,10.1593,3.2615,5.5682,0.3917,4.6855,2.1978,2.9589,0.6549,10.7714,3.6,8.3884,14.4756,15.4559,3.0963,3.3123,2.8157
