Frequency (Hz),Red_X,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Red2_Y,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
0.1999,45.6547,45.1788,23.7078,33.4553,34.6754,12.755,12.755,11.4442,27.6503,46.4273,43.4752,36.901,40.6981,32.2158
0.2998,14.3326,16.2439,21.8248,19.1314,19.254,19.1749,19.1749,6.3854,13.9709,20.6276,20.2416,19.6887,20.022,27.885
0.3997,10.4876,9.7366,19.6067,12.5519,12.4346,28.7366,28.7366,2.3349,15.9271,10.0044,11.3981,13.7415,13.0334,22.2808
0.4997,11.4796,9.7579,16.7984,4.4941,5.8099,17.2442,17.2442,2.2683,23.94,8.1049,4.6702,8.6392,4.9733,14.6367
0.5996,9.3534,4.5572,13.6644,3.0706,4.8562,5.7884,5.7884,1.4784,27.6182,2.4514,1.8594,4.7872,1.3644,8.4566
0.6995,9.9268,4.6094,10.9648,3.554,1.4467,6.4121,6.4121,1.3389,23.8443,1.7353,1.8269,0.569,1.2656,5.9361
0.7995,9.689,6.6196,9.0323,4.2907,1.853,7.5309,7.5309,0.5733,15.7543,2.7155,1.4517,1.3037,2.3125,3.7626
0.8994,8.6295,4.8038,7.457,1.2849,1.6736,7.3445,7.3445,1.0993,13.3527,0.6227,1.4482,0.7968,1.4476,3.0743
0.9993,7.4264,3.5307,6.1344,2.7047,3.4928,8.3028,8.3028,1.733,16.5908,1.9838,1.2859,1.0884,0.8079,3.8422
1.0993,7.9802,4.0953,5.5979,3.8467,4.6848,7.8237,7.8237,2.7339,16.647,0.8823,2.0124,2.7256,2.4243,2.7645
1.1992,9.3609,5.0321,5.6797,1.5903,3.9449,3.55,3.55,2.0147,13.5811,1.316,1.2075,2.2303,1.8142,1.1176
1.2991,9.3667,4.4909,5.5187,1.2806,2.7429,1.4891,1.4891,1.8342,11.4248,1.2234,0.3104,0.7224,0.5182,1.5181
