Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y
0.8768,0.6233,493.9486,3.8832,198.918,0.0764,65.8387,0.0608,84.248,0.0661,91.4658,0.0759,103.3623
1.3152,0.107,107.644,8.5722,59.829,0.0157,30.7383,0.0301,33.1028,0.015,19.0332,0.0198,19.937
1.7536,0.0299,38.2196,3.9536,40.8644,0.0293,16.4448,0.0534,31.0129,0.089,27.381,0.0532,28.9657
2.192,0.0101,17.5663,2.387,20.109,0.0133,22.7101,0.0808,27.4222,0.0378,30.3721,0.0158,16.8461
2.6303,0.0049,7.7986,0.7735,6.8794,0.0867,6.6072,0.1688,43.3349,0.1419,5.6668,0.1029,19.4838
3.0687,0.012,8.71,0.1292,4.7559,0.1157,12.9539,0.3544,8.9334,0.2922,39.4865,0.1136,60.207
3.5071,0.0311,3.5996,2.4327,15.7441,0.06,34.4998,0.5458,45.9363,0.8681,209.6884,0.5074,21.182
3.9455,0.0366,16.6569,4.7033,29.2008,0.1332,21.9338,0.3744,170.7867,1.6447,344.0651,0.549,63.2091
4.3839,0.0497,25.2602,6.1369,38.7876,0.0888,48.5213,0.7015,135.3081,1.2894,301.1881,0.5314,44.2166
4.8223,0.0609,25.3924,9.4382,51.6409,0.2837,11.2047,0.9467,201.2984,0.6491,112.2161,0.4689,121.0714
5.2607,0.1,37.0303,11.0942,65.3951,0.4167,22.5671,0.811,195.001,1.4583,351.0999,0.7491,79.3673
5.6991,0.1651,19.6355,11.2767,77.2708,0.4697,111.1,1.4985,221.0222,0.7608,260.4998,0.5832,81.8308
6.1375,0.1288,17.0407,10.6347,99.4759,0.5477,122.2884,2.1364,186.7006,3.0383,411.1418,0.7853,339.9643
6.5759,0.0438,39.6088,17.9818,109.1436,0.5417,308.8741,1.3653,559.1609,4.3786,909.1964,0.9973,211.7288
7.0142,0.1029,49.4463,27.8995,120.3996,0.5725,172.8942,2.6146,236.9805,3.5522,527.3929,1.0866,252.1311
7.4526,0.2342,27.7024,43.8399,138.684,0.5456,388.3281,2.8339,457.1098,4.0613,525.296,0.426,531.1581
