Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Yellow2_X,Yellow2_Y,Pink2_X
0.1999,0.1453,0.2681,15.6623,11.7683,0.4989,0.1305,1.9693,1.1547,2.2358,1.391,66.917,2.0519,0.3363,1.6958,635.9172,0.269,0.7053,1.0272,0.5527,1.5025,54.5108
0.2998,0.1386,0.2616,16.7861,11.0891,0.4098,0.1546,1.6343,1.0493,1.6456,1.6444,69.4162,1.8761,0.3055,1.4643,675.3948,0.2544,0.6722,1.0064,0.4895,1.3876,54.0393
0.3997,0.1304,0.2535,17.748,5.8069,0.2929,0.1749,1.3867,0.9592,1.3399,1.5119,56.8867,1.7214,0.2808,1.3297,667.2134,0.2384,0.6333,0.9662,0.4571,1.2955,51.7169
0.4997,0.123,0.2459,18.6709,11.8575,0.165,0.1881,1.3846,0.9241,1.5812,1.0153,69.823,1.6421,0.2728,1.3421,605.0968,0.2263,0.6026,0.9068,0.4559,1.2351,47.7106
0.5996,0.1181,0.2404,19.5021,7.0644,0.0845,0.1924,1.5739,0.9455,1.9786,0.3321,69.5975,1.6377,0.28,1.4067,507.1375,0.2212,0.588,0.8332,0.4516,1.1752,42.9979
0.6995,0.1166,0.2373,20.177,10.8856,0.1676,0.1873,1.7655,0.9873,2.1788,0.743,56.1285,1.655,0.2908,1.3989,414.9626,0.2227,0.59,0.7537,0.4147,1.0779,39.3029
0.7995,0.1181,0.2364,20.6421,9.0972,0.2835,0.1733,1.8293,1.0068,2.0648,1.5329,42.0319,1.6316,0.2929,1.2596,379.3906,0.2275,0.6017,0.6765,0.3415,0.9315,38.1548
0.8994,0.1212,0.2362,20.8597,5.7685,0.3815,0.1521,1.7185,0.9772,1.6533,2.0978,28.0608,1.5299,0.2796,1.0057,405.7769,0.2312,0.6131,0.605,0.2564,0.7611,39.4684
0.9993,0.124,0.2353,20.8084,7.1894,0.4498,0.1262,1.449,0.8927,1.0503,2.31,15.5552,1.3477,0.2508,0.73,443.1174,0.2302,0.6153,0.537,0.2071,0.6192,41.5601
1.0993,0.1251,0.232,20.4823,2.1368,0.483,0.0998,1.09,0.7662,0.4813,2.1411,4.5451,1.1166,0.2131,0.6056,448.2068,0.2226,0.6032,0.468,0.2168,0.5497,42.6536
1.1992,0.1234,0.2256,19.8894,4.0199,0.4794,0.0794,0.776,0.6271,0.5545,1.6758,5.0592,0.8995,0.1783,0.6994,408.0529,0.2084,0.576,0.3947,0.2393,0.534,41.8735
1.2991,0.1185,0.2157,19.0509,1.4612,0.4406,0.0725,0.6998,0.5164,0.9193,1.1764,12.9764,0.7752,0.1601,0.8273,335.1451,0.1894,0.5371,0.3188,0.2334,0.5123,39.3941
1.3991,0.1105,0.2028,17.9995,2.6426,0.3712,0.0801,0.8438,0.468,1.0851,1.1581,18.9868,0.7729,0.1622,0.8572,264.877,0.1688,0.4932,0.2458,0.1947,0.4517,36.2108
1.499,0.1005,0.188,16.7784,1.7835,0.2783,0.0941,0.9864,0.4729,0.9942,1.6173,22.5575,0.8255,0.1727,0.7657,244.2859,0.1508,0.4526,0.183,0.147,0.3635,33.6153
1.5989,0.0896,0.173,15.4398,1.2855,0.1713,0.1069,1.0118,0.4862,0.6876,2.0409,23.5565,0.8501,0.1775,0.6027,275.1798,0.139,0.4229,0.1356,0.1334,0.2927,32.3606
1.6989,0.0796,0.1597,14.0445,1.1072,0.067,0.1143,0.8983,0.472,0.257,2.1939,22.6692,0.8066,0.1694,0.4878,309.196,0.1348,0.4074,0.1031,0.1573,0.2802,32.1097
1.7988,0.0723,0.1495,12.6598,1.4677,0.0744,0.115,0.6781,0.4187,0.1848,2.0297,20.2342,0.6962,0.1482,0.5295,313.2878,0.1357,0.403,0.0791,0.1755,0.3,31.9401
