Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X
0.1999,1.3942,1.0457,47.8218,30.0998,23.4913,21.2413,103.1817,98.0976,9.7321,11.0724,1.821,2.8028,1.0272,7.4114,84.9541,75.7402
0.2998,1.3512,1.0012,32.1564,25.5193,19.3305,17.7181,65.6423,61.0871,8.722,9.7558,1.8012,10.1929,2.3191,7.3368,47.4037,55.7447
0.3997,1.2929,0.9411,23.5594,23.5357,13.9237,15.359,52.473,48.4794,7.6617,7.8096,1.7699,2.1526,2.9309,8.9173,39.1799,52.3519
0.4997,1.2233,0.8694,20.885,20.3393,7.8275,16.6044,43.6389,40.8598,10.5705,9.9007,1.7304,13.7263,1.6805,8.4194,31.2916,41.2616
0.5996,1.1461,0.7901,18.2789,15.6988,9.1869,13.802,38.4426,40.4289,7.295,7.9799,1.6849,32.438,2.3606,7.2998,36.0195,16.2961
0.6995,1.0652,0.7077,15.1431,12.1256,5.1384,13.0622,37.2805,40.5736,4.01,3.6424,1.6348,18.1929,3.5379,7.5978,55.9217,58.5906
0.7995,0.984,0.6262,12.9478,10.3372,3.7384,13.7398,33.8564,35.4237,4.2909,4.8263,1.5821,2.9768,2.7615,7.9753,53.0867,66.1479
0.8994,0.9057,0.5495,11.7345,9.145,4.4216,12.4067,30.8731,31.7617,4.0447,3.8499,1.5285,7.9696,0.5481,9.3097,46.5839,51.5905
0.9993,0.8327,0.4808,10.8574,8.2005,5.7816,10.6653,31.1017,31.5029,2.8373,2.3002,1.4757,7.3944,2.3997,9.1064,40.9597,19.017
1.0993,0.7662,0.422,10.0199,7.461,5.2953,10.5392,31.1301,28.7294,6.3442,6.287,1.4251,14.5059,3.9481,7.7334,39.8273,17.1502
1.1992,0.7068,0.3736,9.1232,6.752,3.0826,11.3163,28.5338,20.7203,4.4686,4.5537,1.3781,28.7245,3.8217,9.3411,24.1829,48.1572
1.2991,0.6541,0.3347,8.1712,6.1295,6.4781,6.748,25.0343,20.4036,4.9233,3.9894,1.3356,22.1818,2.3219,10.281,19.1995,58.4733
1.3991,0.6071,0.303,7.3012,5.6233,4.2412,6.7425,21.1921,19.2059,2.4389,2.7873,1.2978,0.1907,0.5874,10.2444,18.7115,39.0912
1.499,0.565,0.2762,6.7383,5.2064,3.4279,6.1338,18.019,16.8698,2.2656,2.0832,1.265,5.6579,1.4935,10.38,11.97,24.0671
1.5989,0.5268,0.2522,6.5545,4.9092,3.4755,5.8256,15.8756,15.8279,1.5806,0.7178,1.2366,11.6301,2.1794,8.9918,12.2535,13.6849
1.6989,0.4921,0.2297,6.5021,4.6816,5.524,3.0405,12.5351,15.8916,4.2942,4.8378,1.2119,11.8232,2.4035,9.8314,18.079,31.2072
