Frequency (Hz),Red_X,Red_Y,Blue_X,Green_X,Orange_X,Yellow_X,Pink_X,Purple_X,Red2_X,Blue2_X,Green2_X,Orange2_X,Yellow2_X,Pink2_X,Pink2_Y
0.1999,29.8681,2.3517,8.817,48.0119,56.4046,57.8682,62.6343,62.6343,48.4376,67.8651,30.5538,64.4027,24.5872,22.9888,9.3461
0.2998,14.9249,2.6756,8.0336,50.1818,39.3274,43.2115,50.3335,50.3335,41.2989,63.4951,15.0903,60.9012,18.3534,18.9289,16.8889
0.3997,15.0086,1.7325,7.5055,28.7383,16.6498,16.9835,24.583,24.583,28.02,19.7554,16.7106,19.1655,36.3097,16.89,19.0893
0.4997,23.3778,0.5806,5.7273,16.2155,7.1718,4.5371,5.5334,5.5334,11.5075,13.9693,17.3945,15.5277,31.7799,17.922,14.2605
0.5996,25.7813,0.3466,3.8249,17.8378,15.1965,16.0175,11.1513,11.1513,7.7012,6.5145,13.5348,5.4638,22.135,18.0058,17.1149
0.6995,21.5309,0.4638,5.0306,4.9462,4.6756,7.7623,9.7501,9.7501,5.6013,7.1523,10.2418,9.1557,16.4592,14.4703,22.624
0.7995,13.7677,1.2667,6.8425,7.0533,8.0486,10.6854,6.8466,6.8466,4.663,8.5144,8.1051,8.5306,13.4436,10.8803,22.3343
0.8994,11.9078,0.9933,7.5471,1.3013,3.5541,5.081,0.8003,0.8003,4.2256,4.0271,7.0711,3.8276,12.492,12.2321,20.3668
0.9993,6.2985,0.3335,8.4168,4.4477,1.1136,3.1278,4.8691,4.8691,11.9747,2.9421,6.7267,3.0475,9.6762,11.4479,23.579
1.0993,13.4861,1.5189,10.1606,7.9055,9.4074,12.8996,8.7233,8.7233,15.226,9.0385,4.7631,7.7451,9.9242,7.3866,27.7786
1.1992,6.5423,1.6614,11.3486,11.0625,12.2443,14.3278,10.782,10.782,17.1364,13.6554,4.2716,12.4485,10.0668,5.6785,25.9454
1.2991,12.6855,1.1119,10.9966,9.0046,10.3753,11.4264,8.8017,8.8017,10.9555,10.9989,5.7167,8.1302,7.4794,5.8261,22.365
1.3991,6.7895,1.258,9.8135,10.1994,7.9405,7.0531,7.2324,7.2324,8.0132,8.282,4.7582,5.017,7.5891,4.6171,23.7577
1.499,8.9779,1.9461,9.0525,6.9808,1.4804,2.164,2.5405,2.5405,3.6548,2.7364,3.2721,1.6569,7.3666,3.0245,24.2335
1.5989,3.5934,2.6268,8.4397,2.4653,4.1258,4.1064,5.5108,5.5108,3.0395,7.2289,4.3367,5.0951,5.866,2.0249,20.975
1.6989,4.7067,2.769,6.8642,3.9279,8.9694,9.3228,8.905,8.905,6.0847,10.8568,4.4718,8.8702,5.9237,1.8488,18.2856
1.7988,4.464,2.2934,4.4781,7.5989,9.5385,11.746,9.8456,9.8456,10.6667,12.0718,3.1091,8.7385,6.8966,2.4417,18.2448
1.8987,2.8384,2.0062,2.9996,8.7184,8.2695,10.4547,7.2794,7.2794,7.2815,8.1651,2.3994,5.0961,5.9944,3.0767,17.7803
1.9987,3.2027,2.7263,3.1948,10.1902,6.647,8.0537,6.6319,6.6319,4.8416,4.4686,3.2287,3.3343,4.6902,3.2174,14.6617
2.0986,2.2413,3.7309,3.4632,7.2758,3.118,3.1427,2.1095,2.1095,0.9124,1.7099,3.2797,2.8069,5.5809,3.6027,10.7016
2.1985,3.5722,3.8071,4.262,3.5936,1.7308,3.7354,3.8881,3.8881,4.4742,5.071,2.0928,2.8396,4.2278,4.075,9.1269
2.2984,7.3263,2.6812,5.7959,2.0894,6.0225,7.8151,8.6636,8.6636,6.0585,8.4036,2.7356,5.7633,3.6075,3.7215,8.0339
2.3984,4.3831,1.451,6.8617,3.5284,8.2803,10.3082,9.9699,9.9699,8.2774,9.1267,3.8929,8.5784,5.3433,3.712,5.4982
2.4983,5.0896,1.3754,6.9584,4.3119,7.7568,8.4337,7.9477,7.9477,6.0895,6.551,3.0114,6.7422,4.615,4.1066,3.0512
