Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Orange_X,Yellow_X,Yellow_Y,Pink_X,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Pink2_X,Pink2_Y
0.1999,44.9854,13.5947,9.9632,1.1256,16.3128,5.5643,21.8878,0.2589,45.3355,48.1876,68.6414,12.3496,50.2894,37.2338,44.4069,3.9886,74.622,52.1996,42.6396,22.8456,2.0007
0.2998,38.9935,8.3627,11.1169,5.0473,4.4579,24.9007,22.939,0.4392,29.6047,29.1465,45.8826,4.7416,41.9311,13.3459,18.4704,1.4579,46.022,36.2647,15.5958,30.7547,2.6177
0.3997,38.5259,7.6199,13.9035,6.2364,9.8211,18.5884,18.2091,0.5287,20.3138,16.4514,51.4734,4.0373,54.762,4.7645,8.4465,1.2004,44.4172,31.5753,7.6075,21.3381,3.1381
0.4997,34.3408,7.1203,16.4273,3.3677,7.7985,10.6262,18.5167,0.5136,20.9259,22.6197,42.5867,5.6275,52.068,11.2839,15.3843,1.8144,31.1787,13.4901,9.9578,5.1789,4.8121
0.5996,25.1196,9.2584,18.9626,4.3605,22.0308,25.5913,22.8332,0.4268,14.9648,13.6476,32.6771,6.5162,41.4955,7.613,12.9187,1.4875,12.8666,25.144,1.9404,14.8358,5.4729
0.6995,15.7819,10.6837,15.096,9.1421,27.0745,20.3751,21.4704,0.2269,18.2678,17.5585,27.1621,9.0046,24.1815,5.271,7.6358,0.522,8.6316,9.944,8.7643,10.4561,4.2077
0.7995,10.9775,10.8718,5.349,9.8289,14.7691,7.675,21.6882,0.5136,13.9262,13.2751,19.823,5.6538,8.4017,5.6749,5.8718,0.3353,10.13,9.5389,9.6887,5.6271,3.0135
0.8994,11.4524,10.2665,6.1525,6.1955,6.0822,4.7729,15.9783,0.4479,4.4856,7.5962,17.4923,1.5592,17.0017,9.6331,8.4337,0.3071,16.0321,2.7365,5.6813,3.6609,2.899
0.9993,13.3494,7.8063,10.5563,1.3827,16.9921,6.4139,22.1611,0.4989,6.9352,7.6168,12.5607,6.5578,11.4816,6.1259,7.594,0.1414,6.7869,16.6976,3.1574,3.48,3.363
1.0993,12.2802,4.8805,9.8288,1.8559,17.7293,8.7295,20.8877,0.2139,9.0145,6.1099,23.6808,6.1029,15.2496,3.0991,7.158,0.6686,10.5394,12.5091,1.2131,6.3652,4.9098
1.1992,9.5418,4.1674,7.2437,4.2516,9.1463,15.108,21.9561,0.3697,3.2002,6.2574,29.8815,2.0875,30.1283,3.8322,7.7417,0.8537,5.5165,6.6959,1.3607,9.2222,5.0159
1.2991,8.8261,5.1804,4.3019,7.0472,5.0121,15.3608,17.9927,0.4384,8.7277,7.814,15.5656,5.1429,26.585,1.8184,6.2768,0.4515,6.6662,1.9306,4.5109,6.6343,3.3396
1.3991,8.9098,7.5597,1.1791,8.2488,7.2381,6.8364,19.0706,0.4357,2.9438,2.775,5.2475,5.21,8.581,2.4314,4.5137,0.4063,5.8021,9.0227,5.732,3.5587,2.3595
1.499,8.5317,8.7554,1.3706,6.7088,3.2573,2.5427,22.0059,0.4117,1.8927,1.3028,11.0373,3.6005,11.7262,4.8406,5.1337,0.4553,1.8921,12.8366,2.9481,3.5353,2.4592
1.5989,8.1354,7.1799,1.5995,5.0116,0.6044,7.2873,19.8496,0.1115,5.5645,5.1165,4.9025,5.8702,13.2027,3.0531,5.9223,0.3578,7.2795,4.4771,0.7935,4.7139,3.4084
1.6989,6.902,4.0572,1.28,5.9704,1.4183,7.8573,20.6901,0.4147,5.6668,3.8973,19.5251,6.0981,2.0167,2.635,6.7358,0.4451,4.8432,2.259,2.0828,6.8222,4.8451
1.7988,5.133,1.9129,2.3675,6.529,4.5712,3.6415,16.4527,0.3321,6.8522,4.347,29.6348,2.5297,13.0624,2.8103,6.6673,0.6363,2.07,7.8504,4.0231,7.73,4.4976
1.8987,4.3781,1.42,3.8139,5.6003,5.4862,1.1894,21.9354,0.4833,5.2641,2.5598,25.378,1.8978,15.4495,1.8876,5.7474,0.4277,5.0687,7.7428,4.2255,5.0728,2.7682
1.9987,3.6757,2.2254,3.5334,4.9409,4.3389,1.4508,19.1755,0.2265,3.9099,5.6756,11.0472,3.2828,8.6558,2.9009,4.547,0.3397,6.7853,2.2395,4.7755,3.0892,2.2356
2.0986,2.7478,3.3307,1.3533,5.0565,2.5821,2.4146,20.3716,0.2741,1.2917,3.348,4.8096,3.7393,9.1472,5.1386,3.5742,0.4947,4.626,5.2644,3.0428,3.6495,2.5108
2.1985,3.2912,3.7638,3.706,4.4958,1.7186,4.1801,17.5094,0.3255,5.3589,3.3806,11.2278,4.4832,10.0875,6.6636,4.6134,0.6029,3.5742,5.7657,4.018,5.3073,3.7167
2.2984,5.5256,2.5242,5.0145,2.7846,5.1736,4.6335,19.2205,0.3909,3.8168,2.6282,19.9557,4.0927,3.952,7.816,6.0669,0.4279,0.4645,6.5159,5.5688,6.8161,4.817
2.3984,7.3695,1.0596,2.8862,0.527,6.9826,4.3859,20.7275,0.4451,3.9355,2.7407,24.1321,1.7805,4.5289,7.2076,6.2592,0.3238,7.2695,3.0181,6.5984,6.5362,3.9596
