Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y,Yellow_X,Yellow_Y,Pink_X,Pink_Y,Purple_X,Purple_Y,Red2_X,Red2_Y,Blue2_X,Blue2_Y,Green2_X,Green2_Y,Orange2_X,Orange2_Y,Yellow2_X,Yellow2_Y,Pink2_X,Pink2_Y
0.1999,1.9276,5.968,1.5369,2.3954,1.5311,1.3486,1.972,2.7125,2.2769,2.3551,6.7274,13.9932,57.1117,68.1996,4.2364,0.3029,3.9149,3.7008,5.7348,746.1664,4.2627,4.6749,4.6879,4.2019,5.2392,2.9773
0.2998,1.7862,5.6505,2.1993,2.2649,1.7221,1.3761,1.9941,2.6245,3.0143,2.2208,7.4503,14.1745,17.112,22.5327,4.1288,0.4353,5.5545,3.4956,7.8499,788.0647,4.7126,4.1683,6.3826,4.0039,5.7391,2.8041
0.3997,1.6005,5.2226,2.7752,2.0995,1.9279,1.4031,2.0153,2.5006,3.6557,2.0515,8.0836,14.3574,33.9214,20.7027,3.9768,0.5448,6.8414,3.2802,9.5258,956.7792,5.0462,3.5367,7.7084,3.7663,6.1865,2.6458
0.4997,1.3835,4.7061,3.2387,1.9149,2.1228,1.4253,2.0307,2.3474,4.1496,1.8658,8.4851,14.4947,63.0343,29.6584,3.7867,0.6265,7.7247,3.1028,10.6608,1217.187,5.1812,2.848,8.5811,3.5203,6.4885,2.5644
0.5996,1.1501,4.1253,3.5731,1.7261,2.2884,1.4375,2.0346,2.1699,4.4724,1.6827,8.5818,14.5351,52.7277,21.5659,3.5642,0.6771,8.1943,2.9893,11.2344,1494.876,5.1024,2.177,8.9856,3.2915,6.5967,2.5917
0.6995,0.9169,3.5071,3.7709,1.5453,2.4123,1.4358,2.0216,1.9731,4.6199,1.5193,8.357,14.4332,14.8511,4.4492,3.3152,0.695,8.2793,2.9325,11.2883,1725.856,4.8419,1.6055,8.9616,3.0946,6.5019,2.7098
0.7995,0.7026,2.8807,3.8348,1.3806,2.4869,1.4172,1.9877,1.762,4.6027,1.3858,7.8368,14.1546,26.7934,12.1915,3.0462,0.6807,8.0407,2.9012,10.9113,1865.531,4.4582,1.2244,8.5903,2.9315,6.2239,2.8651
0.8994,0.5283,2.2774,3.7779,1.2354,2.5078,1.381,1.93,1.5416,4.4433,1.2829,7.0793,13.68,28.2074,12.0667,2.7635,0.6368,7.561,2.8619,10.2226,1890.207,4.0151,1.0953,7.9789,2.7949,5.8015,2.9989
0.9993,0.4164,1.7312,3.6232,1.109,2.474,1.3276,1.8472,1.3165,4.1731,1.2016,6.167,13.0066,22.2388,11.0907,2.4727,0.5673,6.933,2.7977,9.355,1800.261,3.5647,1.1565,7.2429,2.6753,5.2838,3.0672
1.0993,0.3752,1.2831,3.4009,0.9984,2.3876,1.2596,1.7396,1.0915,3.8301,1.1288,5.2009,12.1478,30.966,10.1717,2.1788,0.4783,6.2496,2.7141,8.4412,1625.468,3.1383,1.2768,6.4903,2.5663,4.7218,3.0465
1.1992,0.3802,0.9821,3.1453,0.8995,2.2538,1.1809,1.6093,0.8714,3.4571,1.053,4.2994,11.1301,70.5351,8.4184,1.8867,0.3778,5.5945,2.6339,7.6005,1432.31,2.7488,1.3769,5.807,2.4673,4.164,2.9326
