Frequency (Hz),Red_X,Red_Y,Blue_X,Blue_Y,Green_X,Green_Y,Orange_X,Orange_Y
2.5557,0.3872,0.4743,0.4297,0.2588,0.05,0.0222,0.4047,0.101
3.8336,0.1506,0.2139,0.09,0.1254,0.1828,0.122,0.0918,0.0737
5.1114,0.1768,0.3976,0.183,0.0384,0.5147,0.3883,0.0946,0.0794
6.3893,0.3242,0.2682,0.0498,0.0438,0.7099,0.3765,0.0617,0.0496
7.6672,0.3827,0.3555,0.0711,0.0549,1.1087,0.5417,0.0619,0.0405
8.945,0.5668,0.29,0.0739,0.005,1.9376,1.1479,0.0361,0.0316
10.2229,1.0488,0.4898,0.0098,0.0491,2.1342,0.9119,0.0238,0.0353
11.5007,0.2703,1.2417,0.0571,0.0341,3.0137,1.5266,0.023,0.0267
12.7786,1.0516,0.9784,0.0405,0.0092,4.3578,2.6587,0.0275,0.0222
14.0565,3.3219,0.5001,0.0101,0.0302,4.4247,2.0117,0.0251,0.0148
15.3343,1.87,1.4562,0.0292,0.0086,6.0433,3.6758,0.019,0.015
16.6122,5.0066,2.2296,0.0195,0.0144,7.3478,4.7255,0.0123,0.0137
17.89,3.4527,2.3865,0.0161,0.0237,7.0484,3.7232,0.0094,0.0128
19.1679,2.7603,1.7175,0.0213,0.0042,8.6765,5.3575,0.0085,0.0095
20.4458,2.9025,0.9959,0.0079,0.0112,9.4595,5.8085,0.0088,0.0055
21.7236,1.4544,1.7161,0.0065,0.0064,9.0692,4.5978,0.0067,0.0038
23.0015,6.2167,4.2415,0.0062,0.0013,10.8239,6.5343,0.0033,0.0029
24.2794,6.3938,2.9605,0.002,0.0023,10.9842,6.1999,0.0008,0.0014
25.5572,4.9341,4.6807,0.005,0.0027,10.821,5.7641,0.0011,0.0008
26.8351,7.8881,2.8443,0.0025,0.0049,12.3183,7.5341,0.0036,0.0026
28.1129,4.089,1.2054,0.0058,0.0065,12.1653,7.1492,0.0064,0.0047
29.3908,1.6128,1.1956,0.0134,0.0072,12.0622,6.9954,0.0085,0.0086
30.6687,3.3317,1.9881,0.014,0.0136,12.7363,8.2927,0.0089,0.0104
31.9465,4.8026,2.8136,0.0223,0.0201,11.5052,6.8632,0.0114,0.011
33.2244,2.9521,0.9494,0.0308,0.0148,11.4238,7.0299,0.0137,0.0113
34.5022,5.1955,0.9684,0.0209,0.0255,11.1924,7.1208,0.0177,0.0159
35.7801,3.7232,1.7811,0.0283,0.0235,9.7545,5.5896,0.0235,0.02
37.058,2.5672,1.3033,0.0419,0.0216,9.8479,6.059,0.0244,0.0235
38.3358,1.0841,2.9295,0.0374,0.0493,9.3921,5.6742,0.0239,0.0249
39.6137,2.843,1.3041,0.0562,0.0371,8.6244,4.7289,0.0247,0.023
40.8915,3.6287,2.6656,0.0667,0.0422,8.7544,5.2199,0.0283,0.0289
42.1694,4.2944,1.8924,0.0325,0.0538,7.8151,4.3712,0.036,0.0334
43.4473,3.1119,1.3595,0.0643,0.0338,7.2666,3.8034,0.0441,0.0382
44.7251,3.7155,0.3459,0.081,0.0732,7.6096,4.4729,0.0428,0.0406
46.003,1.9833,0.9677,0.07,0.071,6.748,3.5413,0.0392,0.0417
47.2808,2.6375,2.1939,0.1159,0.066,6.6146,3.1986,0.0431,0.0413
48.5587,5.3942,1.4322,0.0813,0.0835,6.9446,3.8834,0.0495,0.048
49.8366,5.2819,2.0715,0.0612,0.0696,5.8505,2.3285,0.0626,0.0536
51.1144,3.5621,0.3533,0.1386,0.0883,,,0.0691,0.0545
52.3923,3.0751,0.7375,0.102,0.1027,,,0.0644,0.0608
53.6701,4.2392,0.6135,0.1428,0.111,,,0.0601,0.0632
54.948,4.251,1.571,0.1746,0.1064,,,0.0647,0.0709
56.2259,2.5348,3.1316,0.066,0.1043,,,0.0762,0.0763
57.5037,2.5712,1.1738,0.171,0.1311,,,0.0904,0.0802
58.7816,2.2945,2.2512,0.1717,0.1224,,,0.0945,0.0821
,,,0.1658,0.166,,,0.0865,0.0928
,,,0.2435,0.189,,,0.0817,0.0982
,,,0.1707,0.1001,,,0.0935,0.1047
,,,0.158,0.2149,,,0.1072,0.1161
,,,0.2418,0.1565,,,0.1216,0.1165
,,,0.2299,0.1938,,,0.1285,0.1217
,,,0.2781,0.3121,,,0.1129,0.1302
,,,0.285,0.1103,,,0.1151,0.1357
,,,0.2104,0.2685,,,0.127,0.1424
,,,0.2733,0.2702,,,0.1485,0.1503
,,,0.3151,0.1677,,,0.172,0.1496
,,,0.3311,0.4284,,,0.157,0.1816
,,,0.3584,0.254,,,0.1394,0.198
,,,0.3437,0.2407,,,0.1495,0.1844
,,,0.2816,0.4269,,,0.1776,0.1767
,,,0.3684,0.1324,,,0.2101,0.1845
,,,0.4433,0.4556,,,0.2136,0.2198
,,,0.4263,0.4237,,,0.1945,0.2311
,,,0.4441,0.1827,,,0.1872,0.233
,,,0.4173,0.4945,,,0.2009,0.215
,,,0.3424,0.3307,,,0.2409,0.2338
,,,0.5464,0.3672,,,0.2624,0.2653
,,,0.532,0.5916,,,0.2634,0.2996
,,,0.4991,0.3306,,,0.2465,0.3012
,,,0.5993,0.4291,,,0.2315,0.2788
,,,0.3845,0.5437,,,0.2606,0.2932
,,,0.5486,0.3237,,,0.3012,0.3014
,,,0.6912,0.614,,,0.336,0.345
,,,0.5901,0.5516,,,0.3218,0.3512
,,,0.6925,0.372,,,0.3004,0.3444
,,,0.5973,0.6138,,,0.2929,0.3318
,,,0.5064,0.53,,,0.3237,0.3697
,,,0.8015,0.5317,,,0.3679,0.4182
,,,0.728,0.7554,,,0.3839,0.4337
,,,0.7325,0.5543,,,0.3744,0.4355
,,,0.7864,0.5328,,,0.3384,0.4051
,,,0.6453,0.7621,,,0.3678,0.4284
,,,0.7754,0.5339,,,0.4169,0.4438
,,,0.8975,0.7248,,,0.4649,0.4804
,,,0.9083,0.7978,,,0.4784,0.4672
,,,0.8345,0.5254,,,0.4455,0.4471
,,,0.8755,0.8085,,,0.4172,0.4577
,,,0.7864,0.7872,,,0.4421,0.512
